start_station_name,member_casual,number_of_rides,average_duration
Damen Ave & Thomas St (Augusta Blvd),member,4411,13.204549232978161
Damen Ave & Wabansia Ave,casual,330,16.560505050505054
Damen Ave & Wabansia Ave,member,329,14.012158054711247
Damen Ave & Walnut (Lake) St,casual,1188,21.58752805836139
Damen Ave & Walnut (Lake) St,member,1471,13.306707455245864
Damen Ave & Wellington Ave,casual,2175,19.119463601532566
Damen Ave & Wellington Ave,member,2507,14.50448743518149
Dauphin Ave & 103rd St,casual,81,44.77901234567902
Dauphin Ave & 103rd St,member,13,24.175641025641013
Dauphin Ave & 87th St,casual,179,49.603631284916204
Dauphin Ave & 87th St,member,17,15.887254901960798
Dayton St & North Ave,casual,5338,18.413369551642315
Dayton St & North Ave,member,6516,12.6426949048496
Dearborn Pkwy & Delaware Pl,casual,9483,22.500233751625718
Dearborn Pkwy & Delaware Pl,member,13410,13.044392244593586
Dearborn St & Adams St,casual,3416,30.968110850897737
Dearborn St & Adams St,member,5403,12.710376951076562
Dearborn St & Erie St,casual,11806,25.14836664972613
Dearborn St & Erie St,member,18365,12.559852981214267
Dearborn St & Monroe St,casual,6369,29.385706809022874
Dearborn St & Monroe St,member,10929,12.386400097599658
Dearborn St & Van Buren St,casual,3609,32.92341830608664
Dearborn St & Van Buren St,member,4161,12.675006008171113
Delano Ct & Roosevelt Rd,casual,3091,24.880141270354795
Delano Ct & Roosevelt Rd,member,3596,12.794836855765666
Desplaines St & Jackson Blvd,casual,3344,21.18466407496013
Desplaines St & Jackson Blvd,member,8228,11.479908037595203
Desplaines St & Kinzie St,casual,8473,17.300710098745032
Desplaines St & Kinzie St,member,15904,9.528320967471496
Desplaines St & Randolph St,casual,5282,20.797393664016155
Desplaines St & Randolph St,member,7097,10.805138321356441
Dodge Ave & Church St,casual,281,33.71067615658363
Dodge Ave & Church St,member,435,14.545555555555557
Dodge Ave & Main St,casual,222,36.993993993993996
Dodge Ave & Main St,member,190,18.32070175438596
Dodge Ave & Mulford St,casual,250,43.79979999999998
Dodge Ave & Mulford St,member,232,23.647629310344826
Dorchester Ave & 49th St,casual,533,39.92082551594747
Dorchester Ave & 49th St,member,660,16.322348484848483
Dorchester Ave & 63rd St,casual,525,38.04965079365079
Dorchester Ave & 63rd St,member,233,12.580972818311874
